set n_col_ini = 1..1824;


param col_ini (tr): 
	1 	2 	3 	4 	5 :=
181	68	3	34	44	54
182	91	51	65	45	86
183	53	23	61	46	27
184	80	39	61	46	79
185	90	100	80	56	51
186	52	46	77	79	16
187	15	95	29	90	89
188	36	7	4	69	39
189	30	95	29	90	89
190	90	1	35	47	59
191	67	22	71	45	78
192	9	57	74	86	12
193	17	64	26	71	43
194	39	31	71	81	26
195	26	13	83	72	71
196	10	26	87	86	67
197	15	65	29	70	26
198	9	41	26	95	7
199	43	41	72	12	26
200	49	81	7	13	9
201	1	88	12	83	71
202	28	26	29	18	71
203	6	18	37	90	39
204	85	76	86	26	73
205	43	39	53	44	54
206	93	23	90	22	82
207	10	25	24	30	46
208	50	3	41	62	28
209	62	24	26	72	71
210	41	7	70	86	92
211	93	34	39	22	82
212	69	89	2	41	99
213	69	25	28	48	101
214	5	8	64	21	100
215	45	8	43	95	90
216	59	3	19	34	2
217	22	27	68	87	47
218	39	22	77	32	56
219	67	13	60	42	54
220	19	94	29	8	89
221	56	46	8	2	51
222	71	40	70	68	20
223	27	84	76	88	35
224	14	36	100	69	19
225	18	12	30	36	83
226	10	23	87	48	101
227	33	36	61	90	75
228	68	91	90	96	49
229	28	42	43	45	49
230	10	14	87	43	75
231	30	20	17	80	88
232	21	11	1	24	63
233	27	76	50	75	96
234	40	68	70	24	62
235	38	40	53	4	37
236	99	89	76	49	46
237	82	74	40	33	62
238	50	89	46	100	77
239	5	85	90	77	94
240	65	1	60	72	84
241	33	55	29	63	10
242	18	74	57	4	68
243	73	89	95	47	45
244	73	37	78	41	61
245	4	24	54	35	34
246	32	26	59	13	11
247	67	3	21	87	18
248	79	47	21	50	34
249	74	37	9	80	97
250	74	89	95	45	66
251	5	14	52	18	59
252	35	11	19	24	54
253	93	87	73	38	72
254	99	89	70	38	66
255	13	74	58	99	31
256	15	44	29	93	89
257	68	51	32	24	7
258	93	14	80	29	82
259	56	11	47	24	62
260	10	9	45	48	94
261	36	23	6	87	47
262	12	100	101	102	103
263	83	16	87	35	45
264	35	26	95	7	9
265	85	21	42	9	34
266	94	79	31	39	71
267	13	71	1	49	9
268	7	53	101	102	103
269	7	33	63	84	71
270	88	26	11	9	71
271	50	76	62	64	71
272	10	25	27	46	8
273	27	9	31	71	83
274	83	27	9	26	71
275	5	32	43	9	53
276	9	68	19	27	26
277	82	27	92	87	47
278	79	14	86	22	82
279	15	46	29	9	89
280	93	21	9	22	82
281	6	11	9	5	1
282	8	4	7	15	12
283	10	14	3	13	2
284	11	35	82	76	2
285	2	7	14	10	13
286	7	1	13	10	14
287	10	19	1	42	13
288	14	9	41	10	2
289	9	7	5	10	14
290	9	24	41	48	2
291	12	5	13	15	14
292	7	62	12	5	14
293	7	6	14	15	13
294	4	6	14	15	8
295	28	16	13	103	33
296	6	8	5	10	12
297	9	4	12	6	11
298	12	19	15	51	9
299	7	3	1	8	95
300	14	5	41	79	4
301	10	33	81	86	14
302	36	94	3	17	70
303	8	40	58	73	1
304	6	19	71	17	8
305	35	7	102	93	52
306	81	44	11	103	34
307	11	33	81	86	13
308	5	12	52	6	97
309	29	71	4	88	13
310	15	20	75	95	5
311	14	97	6	10	11
312	6	14	97	1	12
313	29	71	6	88	12
314	49	97	4	10	12
315	14	29	56	4	79
316	6	30	73	14	88
317	3	98	34	39	50
318	88	30	69	9	2
319	7	91	2	100	17
320	49	52	24	29	102
321	26	44	58	99	68
322	23	7	97	1	9
323	57	25	29	39	82
324	37	4	14	8	1
325	95	26	19	101	34
326	37	43	19	31	42
327	50	96	28	102	97
328	32	34	94	84	67
329	52	101	27	43	92
330	32	92	35	83	68
331	25	53	92	6	103
332	51	101	42	91	27
333	27	51	1	100	10
334	11	36	69	84	10
335	79	1	66	65	100
336	3	98	48	91	31
337	57	25	62	39	51
338	103	33	81	86	38
339	8	13	54	100	28
340	76	35	12	86	27
341	29	98	91	55	50
342	28	16	55	103	34
343	79	103	41	42	3
344	101	56	97	24	89
345	12	55	17	72	87
346	6	81	2	4	7
347	7	71	18	86	85
348	88	81	38	68	33
349	9	85	40	73	98
350	82	40	66	90	3
351	82	36	8	90	69
352	30	102	92	54	4
353	85	6	87	3	96
354	49	27	96	42	87
355	93	46	87	53	26
356	83	21	80	66	18
357	48	40	83	100	54
358	50	45	93	80	28
359	96	49	45	22	90
360	13	38	16	63	45
361	55	89	41	48	99
362	21	82	62	46	16
363	74	79	99	43	59
364	16	60	32	69	47
365	57	89	29	39	72
366	21	23	69	78	83
367	84	19	67	27	50
368	53	98	44	79	10
369	20	90	52	25	41
370	65	22	47	60	42
371	80	97	96	61	41
372	2	23	26	41	77
373	72	49	59	78	89
374	101	19	66	17	44
375	10	103	60	52	74
376	101	35	3	80	74
377	37	77	78	64	65
378	67	77	71	39	46
379	56	48	99	23	85
380	44	46	102	23	89
381	43	76	44	23	89
382	33	19	98	58	2
383	84	19	39	17	73
384	96	74	41	99	25
385	7	4	6	21	9
386	11	41	5	1	2
387	26	14	97	13	80
388	28	7	10	102	12
389	8	41	2	10	11
390	6	3	4	9	2
391	4	6	41	11	3
392	4	8	3	41	1
393	48	28	58	39	3
394	65	61	11	54	16
395	4	13	36	9	89
396	37	10	6	38	1
397	12	9	14	42	2
398	2	5	50	92	12
399	5	41	7	8	78
400	78	41	4	8	2
401	78	41	4	1	12
402	12	8	3	10	7
403	8	4	1	42	22
404	76	7	52	42	10
405	70	94	17	84	36
406	78	41	13	12	9
407	46	89	47	83	5
408	7	8	19	12	6
409	78	41	2	1	9
410	16	67	15	38	102
411	51	12	9	69	22
412	44	18	2	38	13
413	86	27	23	38	43
414	2	89	83	1	6
415	20	1	17	52	93
416	83	6	13	1	90
417	90	82	6	14	1
418	86	6	71	32	10
419	101	84	85	95	6
420	24	71	34	44	74
421	68	43	34	6	10
422	78	41	26	99	103
423	7	10	33	86	2
424	2	82	8	94	102
425	43	18	17	10	36
426	4	34	36	79	68
427	102	13	22	42	73
428	29	82	53	72	9
429	81	19	4	14	90
430	91	13	8	1	101
431	12	41	11	14	78
432	20	7	17	50	36
433	19	49	87	12	77
434	15	51	36	31	81
435	10	4	7	38	24
436	74	31	7	14	88
437	102	94	32	8	14
438	2	99	85	53	4
439	29	32	84	7	98
440	48	28	33	101	95
441	3	39	97	33	50
442	10	22	8	40	96
443	95	41	78	25	103
444	78	41	27	96	103
445	4	11	32	101	91
446	98	9	49	57	23
447	93	70	43	35	28
448	54	51	87	78	12
449	32	72	94	92	96
450	86	37	64	42	24
451	70	45	26	50	63
452	25	27	44	8	98
453	3	30	52	71	87
454	8	41	97	75	70
455	101	58	73	42	22
456	19	56	55	84	77
457	68	40	25	49	11
458	85	86	77	67	41
459	82	3	12	90	89
460	32	93	56	5	77
461	4	41	78	31	103
462	54	87	49	40	75
463	78	33	79	63	57
464	48	40	30	65	69
465	66	45	58	35	71
466	74	69	55	39	29
467	64	103	91	90	62
468	31	86	54	67	20
469	31	86	91	67	56
470	27	44	3	63	23
471	37	96	56	100	25
472	95	24	53	100	37
473	28	27	24	38	73
474	86	81	62	60	19
475	59	23	82	14	80
476	11	59	35	100	101
477	57	87	79	1	3
478	81	60	59	84	51
479	21	100	88	83	32
480	21	100	88	15	79
481	47	88	20	60	77
482	102	19	60	80	58
483	47	73	31	26	87
484	7	78	56	31	93
485	94	99	29	95	12
486	48	96	24	43	53
487	75	61	63	39	82
488	88	78	89	23	6
489	55	97	46	103	18
490	20	89	61	59	64
491	86	5	75	38	77
492	56	68	30	29	91
493	66	75	56	88	72
494	3	67	97	17	79
495	90	4	19	38	101
496	69	41	25	60	63
497	31	86	51	67	88
498	19	69	16	88	11
499	3	52	97	69	50
500	23	100	45	25	16
501	42	9	77	38	25
502	23	75	64	60	67
503	20	88	41	53	36
504	83	60	44	88	101
505	19	55	20	88	69
506	64	41	6	20	54
507	44	57	20	40	88
508	23	55	97	64	50
509	51	79	60	3	55
510	52	69	43	60	100
511	21	64	80	92	73
512	65	43	62	88	67
513	79	62	68	69	78
514	25	24	65	51	62
515	51	100	55	91	16
516	90	60	39	88	69
517	69	47	74	45	19
518	58	41	6	55	50
519	68	15	72	20	60
520	52	18	23	79	69
521	69	19	59	38	93
522	31	86	59	67	88
523	75	15	78	85	69
524	71	4	100	38	92
525	31	86	47	67	55
526	61	20	102	47	88
527	57	47	17	39	40
528	65	100	93	67	63
529	36	98	62	21	22
530	65	95	80	39	88
531	43	76	24	66	44
532	93	86	57	52	84
533	94	19	60	75	15
534	74	54	79	15	19
535	60	41	6	30	3
536	31	41	6	90	15
537	35	13	67	74	33
538	71	89	51	98	63
539	5	93	36	57	68
540	34	23	29	31	72
541	101	53	55	84	62
542	49	58	69	60	31
543	58	89	53	84	32
544	5	63	36	55	68
545	10	5	2	48	73
546	10	2	8	48	47
547	56	3	7	13	71
548	4	3	5	31	54
549	5	9	6	1	56
550	23	25	6	48	74
551	62	8	43	1	49
552	5	66	68	7	9
553	9	89	2	1	66
554	66	89	2	1	5
555	98	31	30	5	97
556	9	89	2	3	6
557	66	89	2	3	4
558	13	96	62	4	35
559	9	89	10	7	8
560	15	7	29	99	9
561	10	25	6	20	18
562	3	10	28	57	76
563	98	89	1	68	45
564	44	89	67	8	97
565	2	89	4	1	8
566	8	20	76	45	28
567	15	14	29	84	46
568	7	4	71	6	1
569	2	14	70	7	81
570	66	15	11	23	54
571	66	44	9	90	60
572	56	23	11	49	39
573	11	89	43	1	49
574	22	72	68	87	47
575	37	6	71	2	12
576	36	25	32	48	83
577	42	38	12	74	7
578	70	20	43	68	54
579	98	89	66	6	51
580	94	96	29	1	64
581	70	89	1	50	95
582	13	41	73	38	5
583	15	55	29	73	89
584	10	41	6	48	30
585	69	3	40	90	71
586	73	72	2	11	37
587	85	17	97	74	88
588	4	52	98	78	10
589	71	96	81	85	19
590	6	80	18	45	3
591	58	85	24	1	55
592	37	16	68	41	5
593	27	91	29	76	75
594	16	67	86	81	98
595	77	40	47	4	60
596	77	54	40	9	90
597	39	35	14	72	67
598	50	44	30	78	21
599	73	64	26	91	82
600	46	42	92	64	2
601	56	18	23	87	41
602	55	89	66	10	8
603	70	65	26	45	24
604	39	89	6	97	8
605	46	80	48	100	11
606	15	80	38	78	35
607	75	12	77	49	54
608	24	78	96	58	53
609	92	89	10	75	53
610	83	15	66	75	17
611	28	33	77	56	54
612	4	91	8	9	44
613	97	89	66	8	37
614	22	8	81	58	51
615	8	7	28	13	73
616	86	19	73	99	95
617	65	72	34	38	12
618	2	51	1	99	91
619	82	84	101	102	103
620	82	13	52	87	47
621	51	98	65	7	80
622	93	15	79	22	82
623	59	14	63	68	27
624	37	7	27	33	54
625	79	91	60	99	61
626	38	36	63	83	5
627	47	63	61	53	41
628	53	63	37	19	5
629	19	63	26	92	36
630	80	53	61	84	71
631	28	75	7	51	31
632	59	78	51	77	53
633	67	65	84	59	68
634	84	96	67	59	20
635	84	63	36	75	59
636	22	64	59	39	84
637	25	53	43	40	90
638	27	23	97	80	63
639	95	96	84	9	63
640	59	38	28	27	84
641	82	59	14	72	47
642	62	65	9	30	49
643	36	14	1	59	84
644	61	91	84	67	59
645	53	27	84	11	36
646	61	14	65	59	36
647	15	14	29	31	73
648	58	53	2	84	59
649	82	24	15	87	47
650	38	50	29	9	89
651	3	20	100	89	96
652	64	68	84	67	5
653	59	3	87	75	1
654	62	8	43	61	49
655	27	58	90	15	1
656	4	15	9	96	34
657	11	32	5	2	13
658	12	17	64	16	85
659	4	7	9	6	34
660	8	32	14	2	10
661	3	20	26	25	95
662	79	15	12	11	10
663	79	12	1	11	10
664	49	17	64	11	85
665	5	6	8	62	13
666	79	13	1	8	9
667	42	48	66	77	85
668	13	17	64	49	14
669	21	52	12	38	34
670	5	23	71	62	95
671	28	67	90	42	58
672	67	78	83	93	15
673	7	23	49	62	14
674	5	4	16	44	17
675	16	20	26	33	62
676	43	20	3	68	69
677	3	18	16	2	10
678	2	17	64	38	9
679	92	27	7	58	79
680	75	11	9	37	45
681	13	8	64	29	10
682	3	46	17	2	55
683	19	58	90	2	46
684	42	32	4	2	1
685	37	74	38	69	79
686	31	88	12	1	28
687	8	16	87	53	77
688	11	14	1	91	10
689	59	19	76	79	13
690	71	88	16	61	86
691	17	26	22	49	23
692	60	81	66	39	70
693	90	25	64	10	85
694	14	20	26	58	82
695	7	20	91	57	31
696	49	52	64	86	85
697	4	69	21	14	44
698	91	17	28	73	85
699	58	10	29	63	92
700	30	87	50	11	3
701	75	1	80	72	14
702	5	32	93	2	79
703	56	21	25	29	5
704	17	76	9	65	34
705	82	32	15	2	48
706	41	32	93	2	59
707	67	54	26	98	99
708	30	47	77	12	24
709	54	4	65	62	29
710	28	65	92	59	47
711	6	24	62	81	88
712	32	90	13	92	84
713	55	10	94	28	61
714	94	55	60	27	8
715	9	45	12	72	97
716	12	97	73	45	56
717	83	71	16	13	63
718	27	10	53	58	91
719	23	8	36	86	82
720	55	78	64	96	68
721	4	25	97	18	34
722	43	53	47	97	67
723	27	52	10	94	61
724	71	3	16	83	8
725	54	5	31	94	61
726	5	6	89	62	90
727	49	58	73	71	8
728	7	84	95	42	44
729	31	88	28	36	9
730	53	20	82	35	57
731	44	55	96	36	73
732	74	37	18	96	41
733	72	95	11	46	9
734	46	89	32	63	56
735	15	14	91	50	9
736	65	46	73	27	92
737	2	3	68	62	33
738	48	73	69	93	33
739	18	24	74	76	80
740	72	76	91	94	36
741	70	89	87	33	71
742	8	23	65	62	54
743	41	72	61	70	39
744	35	17	83	49	85
745	95	89	51	30	60
746	22	51	45	26	66
747	10	50	33	80	45
748	10	32	31	2	44
749	28	81	51	16	1
750	22	60	77	35	76
751	79	80	56	63	34
752	77	75	3	94	63
753	73	25	87	43	54
754	11	54	65	35	50
755	57	6	75	23	34
756	40	43	97	81	28
757	18	20	26	55	19
758	15	12	68	51	98
759	40	17	45	38	71
760	4	97	9	40	32
761	27	31	9	59	34
762	22	58	40	60	92
763	16	37	39	67	52
764	54	88	47	75	37
765	78	63	38	30	33
766	9	89	98	99	100
767	48	17	26	91	85
768	56	92	6	96	48
769	40	6	64	63	15
770	65	58	90	89	94
771	78	24	65	60	87
772	51	42	25	31	12
773	52	20	26	54	53
774	5	23	39	62	18
775	74	48	75	22	59
776	48	68	41	83	57
777	28	31	47	72	52
778	70	59	94	31	28
779	72	88	19	74	39
780	25	32	38	2	66
781	49	4	63	47	28
782	82	20	26	72	5
783	31	58	90	41	82
784	29	20	50	18	44
785	18	95	85	12	88
786	69	20	26	27	11
787	78	13	26	8	22
788	77	9	95	18	32
789	72	59	93	88	56
790	14	23	97	62	83
791	5	7	85	62	38
792	69	77	1	88	91
793	51	34	54	46	10
794	56	95	85	41	54
795	46	29	31	4	43
796	92	68	42	72	91
797	3	46	37	2	93
798	68	53	26	25	91
799	22	23	84	62	93
800	5	47	93	62	17
801	68	6	19	17	66
802	3	32	95	2	57
803	31	20	26	96	56
804	56	20	61	6	51
805	52	5	55	26	86
806	11	17	64	39	37
807	3	32	22	49	9
808	25	32	34	2	93
809	13	23	67	62	69
810	5	19	84	62	65
811	95	65	38	29	6
812	97	15	84	62	31
813	72	17	64	84	85
814	18	27	26	15	72
815	21	23	85	62	63
816	42	32	84	2	18
817	4	61	53	57	40
818	74	45	35	19	91
819	82	63	45	90	18
820	3	1	84	2	24
821	30	17	64	84	71
822	21	47	98	99	100
823	4	10	68	39	30
824	18	81	77	71	34
825	93	19	64	70	85
826	35	23	16	62	11
827	17	7	38	18	98
828	5	22	4	2	3
829	19	9	8	33	7
830	5	9	1	19	56
831	7	8	1	25	41
832	25	9	10	78	6
833	3	84	1	4	7
834	20	3	68	41	33
835	2	8	4	6	5
836	7	84	2	4	77
837	5	84	2	6	7
838	60	8	10	74	1
839	36	22	43	4	5
840	6	84	53	8	19
841	2	78	3	76	7
842	14	28	32	90	66
843	26	11	33	34	40
844	55	9	46	19	27
845	6	84	2	55	1
846	6	7	20	16	78
847	51	23	39	3	47
848	43	24	2	87	66
849	86	17	64	2	24
850	77	61	7	86	6
851	20	84	1	56	77
852	5	60	76	50	22
853	51	24	40	4	47
854	62	84	57	42	19
855	46	24	8	3	7
856	43	8	63	25	48
857	22	76	60	4	7
858	5	70	68	42	33
859	88	25	17	67	4
860	43	24	88	67	7
861	24	67	88	18	4
862	15	29	22	67	88
863	88	30	18	70	43
864	40	56	30	78	59
865	68	30	85	10	4
866	70	17	18	68	27
867	43	1	2	86	69
868	52	2	44	48	21
869	55	78	51	49	28
870	46	57	21	54	9
871	63	3	13	1	76
872	44	54	23	47	10
873	67	30	18	8	85
874	35	55	51	80	60
875	24	45	49	3	8
876	52	57	47	80	21
877	31	59	11	52	46
878	64	54	4	80	36
879	10	58	36	81	7
880	79	57	55	24	60
881	36	63	51	58	82
882	5	89	43	9	74
883	82	79	15	83	69
884	69	35	20	81	87
885	1	47	85	77	74
886	58	38	49	70	37
887	82	33	48	49	55
888	18	45	83	56	12
889	38	71	48	39	55
890	45	63	37	36	49
891	45	27	52	39	65
892	8	46	73	21	31
893	9	2	85	59	25
894	6	72	74	19	27
895	17	84	44	71	57
896	65	48	49	79	27
897	25	65	24	39	42
898	38	70	37	64	55
899	13	19	81	68	71
900	54	24	81	45	21
901	43	36	72	29	38
902	27	72	42	70	30
903	87	79	72	88	75
904	71	16	90	13	10
905	12	78	28	72	21
906	78	58	16	15	48
907	82	8	65	1	12
908	78	72	27	69	60
909	22	23	67	74	52
910	37	82	64	73	77
911	27	29	83	81	2
912	80	70	65	17	37
913	76	75	73	54	56
914	12	73	60	70	13
915	49	63	75	12	25
916	1	37	69	66	75
917	87	28	21	75	59
918	7	62	82	67	27
919	13	47	86	22	75
920	75	70	77	39	59
921	75	29	40	85	59
922	32	29	16	62	53
923	65	45	80	30	38
924	66	42	81	30	2
925	63	27	38	1	41
926	65	61	4	88	91
927	66	70	86	77	80
928	80	45	73	90	59
929	56	13	69	64	15
930	15	12	83	76	36
931	20	87	36	15	21
932	40	47	66	46	78
933	36	56	28	57	6
934	6	66	9	19	27
935	22	35	89	3	56
936	48	20	28	2	51
937	17	89	12	75	1
938	79	86	39	13	66
939	83	28	64	68	9
940	23	70	85	62	15
941	35	3	53	36	41
942	15	29	72	7	54
943	59	89	76	56	31
944	71	7	42	87	21
945	81	82	60	49	80
946	31	48	30	75	32
947	26	47	73	32	31
948	25	23	69	19	27
949	80	29	90	78	31
950	37	53	30	62	59
951	3	57	31	80	1
952	41	76	12	26	80
953	15	50	38	32	12
954	11	47	30	62	89
955	26	89	19	67	63
956	31	50	41	83	30
957	75	53	18	64	35
958	5	32	86	1	41
959	2	71	25	30	15
960	86	84	47	34	37
961	59	84	83	48	32
962	40	12	31	2	22
963	79	5	34	56	68
964	52	89	66	42	53
965	6	28	29	19	27
966	62	74	91	92	93
967	11	9	47	2	57
968	4	84	89	28	87
969	32	4	53	15	47
970	73	84	85	63	52
971	2	16	43	30	45
972	63	84	85	89	32
973	82	81	68	34	33
974	1	12	57	74	14
975	38	23	17	53	37
976	81	84	9	52	18
977	66	7	11	44	39
978	14	49	91	92	93
979	67	15	91	92	93
980	22	16	69	2	75
981	42	70	3	79	17
982	66	14	28	30	58
983	20	4	5	32	69
984	54	52	19	78	87
985	37	84	34	56	1
986	8	11	88	2	89
987	34	89	85	53	69
988	54	9	62	2	71
989	8	20	23	52	55
990	23	81	35	62	33
991	44	81	51	65	86
992	1	8	26	35	10
993	13	22	91	92	93
994	54	75	50	86	85
995	56	9	55	2	71
996	66	19	55	32	22
997	3	7	11	8	2
998	10	5	6	4	9
999	4	8	1	7	88
1000	10	2	7	1	88
1001	4	2	1	7	88
1002	5	2	6	1	88
1003	5	2	1	10	88
1004	9	1	5	3	7
1005	10	46	30	8	61
1006	4	9	6	3	88
1007	66	20	27	85	1
1008	39	7	55	5	88
1009	2	4	45	36	59
1010	3	24	25	49	41
1011	3	20	9	81	23
1012	8	2	6	5	42
1013	10	77	78	7	81
1014	6	9	56	39	88
1015	9	6	4	8	7
1016	14	1	68	12	81
1017	20	81	5	36	51
1018	74	4	72	57	32
1019	7	9	82	53	86
1020	15	6	90	7	50
1021	40	2	47	18	19
1022	14	39	10	5	61
1023	38	75	23	25	32
1024	75	41	65	87	39
1025	85	3	80	8	5
1026	80	65	85	55	5
1027	50	3	61	48	69
1028	56	11	39	20	88
1029	86	17	10	36	33
1030	18	9	47	64	19
1031	53	6	8	43	83
1032	52	2	71	18	40
1033	76	7	41	54	26
1034	76	50	2	25	9
1035	76	6	55	40	25
1036	19	13	37	25	58
1037	80	56	11	9	2
1038	76	75	56	28	9
1039	11	29	77	55	9
1040	23	48	67	85	5
1041	3	7	80	84	59
1042	13	14	32	28	5
1043	11	29	53	43	77
1044	88	17	55	12	67
1045	57	14	49	68	37
1046	63	23	67	50	88
1047	71	39	84	81	23
1048	58	6	80	29	46
1049	65	72	48	4	5
1050	49	79	72	39	42
1051	54	47	86	64	62
1052	5	12	1	36	35
1053	21	11	57	26	44
1054	83	15	4	81	72
1055	68	52	55	32	73
1056	25	87	34	56	91
1057	32	21	31	90	73
1058	76	58	79	43	26
1059	70	34	91	11	46
1060	77	26	68	41	58
1061	82	60	83	72	87
1062	59	70	84	54	83
1063	13	78	31	36	51
1064	8	79	53	70	40
1065	69	91	41	57	64
1066	37	74	61	6	52
1067	52	89	82	74	4
1068	74	80	86	68	59
1069	10	37	65	29	60
1070	19	8	34	43	77
1071	65	89	19	61	53
1072	30	79	47	18	16
1073	48	40	66	18	14
1074	48	69	22	87	53
1075	49	14	31	2	45
1076	83	38	48	89	22
1077	46	15	38	77	62
1078	70	22	38	82	16
1079	66	4	51	40	38
1080	40	16	60	74	22
1081	70	80	16	9	14
1082	70	49	23	7	48
1083	34	7	58	66	22
1084	34	64	58	18	38
1085	85	22	68	59	38
1086	70	22	68	82	67
1087	82	20	26	22	10
1088	24	8	81	1	87
1089	87	75	64	46	22
1090	38	60	54	10	22
1091	14	58	38	10	34
1092	7	57	67	65	91
1093	22	20	91	23	13
1094	68	13	72	7	22
1095	11	91	33	47	42
1096	81	57	82	48	56
1097	39	89	23	60	86
1098	14	69	18	85	86
1099	48	89	54	40	16
1100	12	53	92	93	94
1101	86	26	29	23	31
1102	39	67	60	70	80
1103	71	83	85	69	39
1104	48	60	26	84	69
1105	15	55	90	61	32
1106	74	73	55	7	60
1107	34	80	83	79	82
1108	82	59	14	67	22
1109	43	38	71	82	70
1110	39	45	60	28	68
1111	14	83	66	65	32
1112	16	76	30	88	73
1113	89	23	48	63	66
1114	74	45	88	83	21
1115	40	45	13	23	34
1116	24	67	20	30	45
1117	45	17	75	72	14
1118	16	60	30	88	34
1119	29	33	34	78	81
1120	9	22	47	33	28
1121	17	3	76	36	51
1122	9	40	47	24	85
1123	22	48	63	70	1
1124	27	44	63	42	7
1125	5	57	32	85	49
1126	91	2	13	64	21
1127	22	69	65	6	13
1128	90	44	63	73	13
1129	91	55	72	22	50
1130	72	49	69	28	2
1131	1	27	32	85	48
1132	41	37	86	89	34
1133	91	44	67	33	60
1134	64	63	33	26	50
1135	6	15	92	93	94
1136	57	42	46	23	24
1137	4	52	89	71	32
1138	48	57	80	10	22
1139	79	41	84	48	19
1140	49	50	38	52	66
1141	16	79	30	88	90
1142	11	28	83	61	7
1143	53	75	92	93	94
1144	9	45	47	18	76
1145	30	70	13	27	22
1146	16	33	92	93	94
1147	1	28	29	85	18
